Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL14-Height,FL14-Area,FL14-Width,FL15-Height,FL15-Area,FL15-Width,FL28-Height,FL28-Area,FL28-Width,FL35-Height,FL35-Area,FL35-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
G 2,1028259929,1,3248274,2213791,369098752,908203112,685245409,369098752,614987944,466129775,385875968,799480,568094,385875968,2771316,2955811,2122317824,1433994,1064134,352321536,828538,488079,419430400,4074134,3304041,620756992,471990271,
G 3,1072286643,1,1927080,1206265,637534208,1504877654,1076227096,293601280,538299438,387749439,360710144,820228,610673,452984832,10412162,9338451,377487360,11073050,9496651,436207616,3635180,2992852,637534208,2405382,1271488,285212672,473038847,
G 4,1121941650,1,1532260,1592715,872415232,1209188860,950980553,318767104,645902602,587676303,461373440,1400164,1104268,612368384,3799144,3161779,922746880,1164366,945966,813694976,928056,447525,562036736,2338160,1154921,243269632,474087423,
G 5,1165973505,1,1821494,1436191,830472192,1319179058,1254842779,360710144,1018551812,907022078,402653184,38037066,41221831,645922816,14071912,16002449,822083584,2280318,2044841,444596224,1197474,1097706,1325400064,15546428,16865617,553648128,475135999,
G 6,1232492719,1,486524,464823,788529152,962700280,824428443,444596224,467963352,343231847,360710144,1388472,888095,293601280,5668914,5149691,645922816,3888992,3432597,1342177280,334600,66062,293601280,440056,273157,704643072,476184575,
G 7,1276452640,1,1350322,1165895,1233125376,1295004208,1039339022,444596224,707835892,547623514,369098752,68471624,52140823,377487360,24586424,19468752,394264576,2532246,1639675,704643072,438986,80984,100663296,5578442,4301837,369098752,477233151,
G 8,1322786705,1,1928958,1158445,318767104,1367465762,1033989518,352321536,626663852,421937404,335544320,56093356,37236825,335544320,24220556,15198108,301989888,613314,650959,805306368,508348,955611,2139095040,4757694,3104284,343932928,478281727,
G 9,1371774344,1,1451020,1191474,385875968,1547327922,1317172278,335544320,809758272,681780789,436207616,5034410,3821512,394264576,26151212,29624901,595591168,31439168,40433246,654311424,359056,79311,218103808,156164,35703,0,479330303,
G 10,1415478470,1,2098074,1819240,452984832,1396048680,1047266452,310378496,594977654,481812687,411041792,1857638,1352761,369098752,4765764,3868063,360710144,2929382,2382721,402653184,661306,355953,310378496,6108366,4194262,310378496,480378879,
G 11,1460058841,1,1848506,1517029,419430400,1218176410,938456645,335544320,555022740,451965385,394264576,1111206,792175,385875968,5625828,4124191,301989888,3871642,3355186,461373440,855728,428175,377487360,284338,66225,134217728,481427455,
