Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
D 16,984385794,0,840742,1196531,1182793728,1889576906,41765302,394264576,521878800,449353939,260046848,55062846,59385835,360710144,18552932,16513922,276824064,285343743,
D 15,1022294234,0,782686,690833,511705088,2115731430,56791924,268435456,604739048,557699304,293601280,54152340,61465114,343932928,24539240,24198090,318767104,284295167,
D 14,1058606343,0,2808868,2566951,1006632960,1583281062,1956279882,444596224,527042988,482217292,285212672,57499016,59327211,335544320,17611636,17359357,318767104,283246591,
D 13,1097071200,0,1195816,1639282,1358954496,1746817298,2018378352,385875968,437149992,398719458,285212672,67277814,69876252,335544320,27425580,28989777,335544320,282198015,
D 12,1133678980,0,627708,773890,738197504,1763628428,2117627087,411041792,433132776,379772583,268435456,75732532,76694770,310378496,30499860,25575633,251658240,281149439,
D 11,1170928259,0,1154404,1420756,1006632960,1661306832,2110210863,444596224,608134346,534105572,276824064,66503658,65679624,318767104,19753250,23451271,377487360,280100863,
D 10,1208520549,0,996108,868799,687865856,1861146862,1974780763,301989888,504534480,457263328,285212672,55647648,53950149,327155712,19390712,20627705,327155712,279052287,
D 9,1245420655,0,686284,1388961,1140850688,2006323802,92602892,377487360,561072440,494048204,276824064,47983902,49072717,327155712,20207720,21978045,343932928,278003711,
D 8,1284628108,0,1095218,1863945,1107296256,2075608574,136663578,335544320,638653568,574258375,285212672,57311772,62981672,377487360,17479940,20032170,369098752,276955135,
D 7,1320813598,0,705494,949028,914358272,1681405074,2132230901,436207616,697262676,604847007,268435456,58957196,61027802,318767104,18967464,18628598,268435456,275906559,
D 6,1356871621,0,1165138,962381,486539264,1537511704,1810726903,360710144,710913498,658443362,285212672,65177852,79702360,385875968,9088386,9610105,360710144,274857983,
D 5,1398417697,0,905934,1431015,1140850688,1633780706,51699792,469762048,581216296,553174055,301989888,53539308,61765300,360710144,30192330,31883827,335544320,273809407,
D 4,1436675755,0,1260176,2375012,2139095039,1762439758,1981330260,385875968,591610364,525433391,276824064,52324294,49082130,285212672,28089030,24788388,234881024,272760831,
D 3,1473262411,0,889700,1179856,1291845632,1540501538,1874377266,427819008,354258574,329473820,293601280,55555418,59500481,369098752,25803110,26315338,318767104,271712255,
D 2,1510387897,0,686762,1305830,1006632960,2085138086,2136881678,268435456,638015150,547641160,268435456,64838288,63774228,310378496,23025856,21789546,301989888,270663679,
D 1,1546823882,0,1028644,1764858,1535115264,1803435210,50730085,411041792,641082370,565851902,276824064,57061868,57745362,310378496,25794840,24102925,293601280,269615103,
E 1,1592380779,0,1157286,1549581,587202560,2042708534,229211694,402653184,638984422,544401130,268435456,64090018,64257448,318767104,29256548,24134134,251658240,336723967,
E 2,1628927221,0,1171068,1052112,830472192,1294551648,1781603946,545259520,570167700,555133267,310378496,62660892,72135420,973078528,33351428,33472027,310378496,337772543,
E 3,1666350212,0,1250746,2995563,1778384896,2006238036,25271075,352321536,515452572,449040935,268435456,38152712,42540125,360710144,23208710,24112601,352321536,338821119,
E 4,1709542144,0,1183870,1263475,654311424,1419834398,1872076335,452984832,449238768,402433335,276824064,63146764,64377880,335544320,38301692,36153626,293601280,339869695,
E 5,1747157060,0,681736,1394510,1895825408,1793774522,2079015683,402653184,579516950,510578143,276824064,78071808,80125796,335544320,22094598,25216999,360710144,340918271,
E 6,1784597289,0,1329980,1519334,813694976,1778786876,2118420333,436207616,641127060,587798799,293601280,50600538,56770325,369098752,13530966,14213472,335544320,341966847,
E 7,1823391513,0,835322,578297,310378496,1741209480,1985942359,394264576,520785530,468977779,285212672,75256164,76162595,301989888,33940028,34290321,327155712,343015423,
E 8,1861074849,0,1839048,2199601,1015021568,1729624080,54943570,444596224,512765328,464366160,276824064,77737722,77863528,301989888,25989372,27493981,335544320,344063999,
E 9,1898760501,0,1414112,2720532,2139095040,1365219124,1792042299,461373440,454180398,414832628,285212672,54339848,60299427,343932928,15931348,12112032,234881024,345112575,
E 10,1938638435,0,555748,381178,201326592,37145601,171275705,343932928,471747522,418016307,268435456,47324222,45334640,301989888,19718518,21257580,352321536,346161151,
E 11,1976627836,0,693086,812101,461373440,2014715500,117256556,385875968,552132768,507524134,293601280,73297740,70628858,310378496,28711748,26311434,243269632,347209727,
E 12,2017198437,0,996452,1002421,822083584,2070471504,130806393,360710144,319843608,283894556,268435456,39777144,37435627,293601280,13292600,13545163,318767104,348258303,
E 13,2054291507,0,1164502,2414975,1996488704,177559133,226203255,293601280,574529448,509340630,276824064,73489266,64651584,268435456,20530910,21904211,360710144,349306879,
E 14,2095413278,0,1326224,1934945,629145600,371408369,276659895,243269632,621896300,553810870,276824064,57428978,55456452,301989888,16198716,16719325,335544320,350355455,
E 15,2132247223,0,1681584,936846,150994944,1786580554,66069246,419430400,488796508,461393234,293601280,82578688,91661300,352321536,16667220,17017614,335544320,351404031,
E 16,22146404,1,1009284,1424388,872415232,1829045188,26203665,411041792,581343298,511044795,268435456,60538742,67578985,352321536,28523182,30430101,352321536,352452607,
E 17,63638621,1,643326,683529,419430400,1799023802,2146978248,419430400,432960818,387422779,276824064,67986150,67709998,318767104,34312830,32964117,293601280,353501183,
E 18,99729466,1,853688,574614,234881024,1260118512,1825520708,511705088,529204390,473391832,276824064,47948348,55291096,360710144,35144222,34108568,310378496,354549759,
E 19,136534649,1,1003632,664220,209715200,1854274674,2105278751,385875968,533911602,468557576,268435456,58457690,63111426,343932928,26911146,24095373,268435456,355598335,
E 20,174182171,1,1224682,1097295,662700032,2070991964,161735380,377487360,629727110,564762337,276824064,78413054,92424017,369098752,26637674,29046986,352321536,356646911,
E 21,210951154,1,1025426,910541,872415232,315120329,390262364,293601280,830867766,705145983,268435456,57172642,58817257,310378496,27128882,21698299,251658240,357695487,
E 22,251037537,1,956236,2424079,1619001344,2123349688,28996735,260046848,634854566,547841472,268435456,53168038,53547974,318767104,26814416,24089537,293601280,358744063,
E 23,289016552,1,766060,1402148,872415232,185037281,164685352,234881024,776926610,688776334,276824064,59632302,60954401,327155712,9475570,8240734,243269632,359792639,
E 24,326555467,1,963194,879399,897581056,1926092368,2060826394,318767104,502423346,447561137,276824064,45874222,50718925,352321536,23519202,22615539,301989888,360841215,
F 24,359348655,1,2837188,2728703,1082130432,1750203154,11855144,436207616,723586254,616879327,260046848,65431962,64758036,310378496,23136270,20835706,276824064,427950079,
F 23,396786162,1,1021298,1885314,1375731712,2062483668,162269757,377487360,752224640,675160677,276824064,74077882,75451057,318767104,28272740,24526169,276824064,426901503,
F 22,453306000,1,857536,1341492,1845493760,7998221,48062772,276824064,369027384,342414469,293601280,41029852,44559966,327155712,20272344,20694532,310378496,425852927,
F 21,489912810,1,1422054,2903414,402653183,1920787878,136836892,528482304,684699238,674471980,310378496,60087196,75031764,419430400,15059774,15941048,352321536,424804351,
F 20,529122921,1,1857982,1809471,939524096,2040798464,248968014,427819008,787135908,726296634,285212672,46813714,55466797,377487360,20338112,19598705,285212672,423755775,
F 19,566277127,1,1336772,1237499,545259520,18892275,153630332,335544320,640574204,567053123,276824064,71732468,69857134,318767104,27137312,25767638,268435456,422707199,
